s,phi,contrast,numerical_residual,analytic_residual,absolute_error,relative_error
0.082,0.15,0.0,6.675951605073727e-16,0.0,6.675951605073727e-16,
0.082,0.15,0.25,0.0025013223466108245,0.0025013223466108267,2.168404344971009e-18,8.669031993853547e-16
0.082,0.15,0.5,0.0050026446932216586,0.005002644693221653,5.204170427930421e-18,1.0402838392624256e-15
0.082,0.175,0.0,6.681906235181477e-16,0.0,6.681906235181477e-16,
0.082,0.175,0.25,0.0029142533306657403,0.0029142533306657364,3.903127820947816e-18,1.3393234486091089e-15
0.082,0.175,0.5,0.005828506661331474,0.005828506661331473,8.673617379884035e-19,1.488137165121232e-16
0.082,0.19999999999999998,0.0,6.682018736408099e-16,0.0,6.682018736408099e-16,
0.082,0.19999999999999998,0.25,0.0033253630012520224,0.003325363001252021,1.3010426069826053e-18,3.912482957477888e-16
0.082,0.19999999999999998,0.5,0.006650726002504045,0.006650726002504042,2.6020852139652106e-18,3.912482957477888e-16
0.082,0.22499999999999998,0.0,6.675882250839647e-16,0.0,6.675882250839647e-16,
0.082,0.22499999999999998,0.25,0.003734394428207763,0.003734394428207762,8.673617379884035e-19,2.322630227371762e-16
0.082,0.22499999999999998,0.5,0.007468788856415527,0.007468788856415524,2.6020852139652106e-18,3.483945341057643e-16
0.082,0.24999999999999997,0.0,6.675867713228065e-16,0.0,6.675867713228065e-16,
0.082,0.24999999999999997,0.25,0.00414109198020566,0.004141091980205659,8.673617379884035e-19,2.0945242031193127e-16
0.082,0.24999999999999997,0.5,0.008282183960411317,0.008282183960411318,1.734723475976807e-18,2.0945242031193127e-16
0.082,0.27499999999999997,0.0,6.682018736408099e-16,0.0,6.682018736408099e-16,
0.082,0.27499999999999997,0.25,0.004545201484514289,0.00454520148451429,8.673617379884035e-19,1.908302065251771e-16
0.082,0.27499999999999997,0.5,0.009090402969028579,0.00909040296902858,1.734723475976807e-18,1.908302065251771e-16
0.082,0.3,0.0,6.682018736408099e-16,0.0,6.682018736408099e-16,
0.082,0.3,0.25,0.004946470385847798,0.004946470385847795,2.6020852139652106e-18,5.260488815236743e-16
0.082,0.3,0.5,0.009892940771695592,0.00989294077169559,1.734723475976807e-18,1.7534962717455812e-16
