jeffreys,affinity_deficit,likelihood_ratio_second_moment,maximum_absolute_likelihood_ratio,batch,batch_size,s,actual_angle
1.6554299493104425e-09,2.0692874318030344e-10,1.6554299647825018e-09,0.000798292712437032,121,8192,0.045,0.30618621784789724
2.334112032377539e-09,2.9176400112642666e-10,2.3341121258420427e-09,0.0015331192376084601,122,8192,0.045,0.30618621784789724
2.029778409154511e-09,2.537223003027e-10,2.0297784360861565e-09,0.0007478689010991246,123,8192,0.045,0.30618621784789724
2.0476215089464005e-09,2.559526871711036e-10,2.047621555256686e-09,0.0012117477191413428,124,8192,0.045,0.30618621784789724
2.099309861109789e-09,2.624137312351882e-10,2.0993099060229227e-09,0.0009768858010463788,125,8192,0.045,0.30618621784789724
1.898023678645717e-09,2.3725295866758557e-10,1.8980237158658485e-09,0.001066246952190042,126,8192,0.045,0.30618621784789724
2.1251028536701914e-09,2.6563785505355895e-10,2.1251029066370728e-09,0.0012719365795472726,127,8192,0.045,0.30618621784789724
6.848295794183165e-09,8.560369493462355e-10,6.848296591836311e-09,0.0022180734166337146,0,8192,0.055,0.30618621784789724
9.284698112094201e-09,1.1605872083525079e-09,9.284699893190861e-09,0.0031760790140253903,1,8192,0.055,0.30618621784789724
6.0870428436672704e-09,7.608803469385331e-10,6.0870431163033046e-09,0.0016236351813372352,2,8192,0.055,0.30618621784789724
5.3509041899530745e-09,6.688630189494865e-10,5.350904343381806e-09,0.001199992433361885,3,8192,0.055,0.30618621784789724
8.385398869806995e-09,1.0481747984666758e-09,8.385400798101522e-09,0.0035655258965636705,4,8192,0.055,0.30618621784789724
9.073396424194899e-09,1.1341745145188997e-09,9.073397656369747e-09,0.002652861346415847,5,8192,0.055,0.30618621784789724
6.246749003536012e-09,7.808436070590023e-10,6.2467495917920035e-09,0.002270726364299591,6,8192,0.055,0.30618621784789724
7.806592246954104e-09,9.758240094518023e-10,7.806592932312864e-09,0.0020121264437449327,7,8192,0.055,0.30618621784789724
6.731193707111918e-09,8.413992018420106e-10,6.73119407661526e-09,0.0016589979888284034,8,8192,0.055,0.30618621784789724
6.5637482303528765e-09,8.20468509830163e-10,6.5637488371991826e-09,0.002281713214221881,9,8192,0.055,0.30618621784789724
5.608799494983927e-09,7.010999314981406e-10,5.6087996669791375e-09,0.0012108219495647887,10,8192,0.055,0.30618621784789724
4.921450181522916e-09,6.151812684344154e-10,4.92145031771329e-09,0.0012797813296252514,11,8192,0.055,0.30618621784789724
7.466180279626019e-09,9.33272490311614e-10,7.466181708158531e-09,0.003063601241155567,12,8192,0.055,0.30618621784789724
1.2503867695392511e-08,1.5629832390860782e-09,1.2503874826209086e-08,0.00449283953977897,13,8192,0.055,0.30618621784789724
9.929524056853822e-09,1.2411903587993013e-09,9.929528802692189e-09,0.0045011302850230805,14,8192,0.055,0.30618621784789724
8.553132146474257e-09,1.0691414850869716e-09,8.55313320958824e-09,0.0026650660843632323,15,8192,0.055,0.30618621784789724
7.971479092287159e-09,9.964348683493839e-10,7.971479674255524e-09,0.0018794184217227894,16,8192,0.055,0.30618621784789724
6.438826789476935e-09,8.048533380145839e-10,6.4388271309179956e-09,0.0017703819209131666,17,8192,0.055,0.30618621784789724
7.660466186301112e-09,9.57558239230499e-10,7.660467276129641e-09,0.0028246300365477595,18,8192,0.055,0.30618621784789724
5.9949927037002595e-09,7.493740795969564e-10,5.994992971398695e-09,0.0013571582435467633,19,8192,0.055,0.30618621784789724
6.955268557345986e-09,8.694085468987192e-10,6.955269285970947e-09,0.002459555361058463,20,8192,0.055,0.30618621784789724
6.596931986335287e-09,8.246164877341431e-10,6.5969323241838554e-09,0.0013885069302101982,21,8192,0.055,0.30618621784789724
7.14104492152904e-09,8.92630585792384e-10,7.141045862288963e-09,0.002886880570402539,22,8192,0.055,0.30618621784789724
7.265711236918599e-09,9.082138707405235e-10,7.265712320896296e-09,0.0026797897828423345,23,8192,0.055,0.30618621784789724
6.228692462782145e-09,7.78586545936807e-10,6.228692843932909e-09,0.002004884701376497,24,8192,0.055,0.30618621784789724
6.671346533059087e-09,8.339183043717905e-10,6.671346925398143e-09,0.0017845851282949354,25,8192,0.055,0.30618621784789724
5.560971772990802e-09,6.951214631924854e-10,5.5609720427944805e-09,0.0018125584925048344,26,8192,0.055,0.30618621784789724
8.459461063267817e-09,1.0574326016241048e-09,8.45946206436777e-09,0.0025660729894525502,27,8192,0.055,0.30618621784789724
7.796907823090972e-09,9.746134507702942e-10,7.79690869080547e-09,0.0022978887616442734,28,8192,0.055,0.30618621784789724
9.087796653363742e-09,1.135974546905686e-09,9.087797765836789e-09,0.002455779858193452,29,8192,0.055,0.30618621784789724
6.925104845629861e-09,8.656380794752387e-10,6.9251056849416995e-09,0.00257508386876637,30,8192,0.055,0.30618621784789724
8.325873396544796e-09,1.0407341155414391e-09,8.325875285398056e-09,0.003235366228851788,31,8192,0.055,0.30618621784789724
6.735713314276878e-09,8.419641527277677e-10,6.7357136840958245e-09,0.0016425338458230243,32,8192,0.055,0.30618621784789724
7.280168267759518e-09,9.10021004900384e-10,7.280169181985326e-09,0.002325334449187366,33,8192,0.055,0.30618621784789724
8.296211652237359e-09,1.0370264246047096e-09,8.296212673836125e-09,0.0023655522459904432,34,8192,0.055,0.30618621784789724
7.1843218342433765e-09,8.9804021505655e-10,7.184322289407294e-09,0.0019320344296591685,35,8192,0.055,0.30618621784789724
8.138240530523741e-09,1.0172799863134702e-09,8.13824309058793e-09,0.00385004147058865,36,8192,0.055,0.30618621784789724
6.361675702063116e-09,7.952094442934882e-10,6.361676292923978e-09,0.0024818477079850965,37,8192,0.055,0.30618621784789724
8.677164279540035e-09,1.0846454900649264e-09,8.677165715622593e-09,0.002643505951832381,38,8192,0.055,0.30618621784789724
6.478048951152517e-09,8.097561101170826e-10,6.478049232015944e-09,0.0015444283699075356,39,8192,0.055,0.30618621784789724
7.53614460765025e-09,9.420180377132356e-10,7.536145831427775e-09,0.002948448509238588,40,8192,0.055,0.30618621784789724
8.00887807122232e-09,1.001109725487819e-09,8.008879140501432e-09,0.002738862999537517,41,8192,0.055,0.30618621784789724
6.238021986798409e-09,7.797527368949988e-10,6.238022353352092e-09,0.0018180362677000517,42,8192,0.055,0.30618621784789724
9.622220725727608e-09,1.2027775542312661e-09,9.622221893237563e-09,0.0022186544832081267,43,8192,0.055,0.30618621784789724
8.571193767238023e-09,1.0713991791595495e-09,8.57119510308459e-09,0.0027567101303347386,44,8192,0.055,0.30618621784789724
8.667177201504509e-09,1.0833970551293462e-09,8.667180243383833e-09,0.004035437839764455,45,8192,0.055,0.30618621784789724
6.196093684069433e-09,7.745117018884392e-10,6.1960939599171104e-09,0.0017856079607323494,46,8192,0.055,0.30618621784789724
7.92733086527194e-09,9.9091631284265e-10,7.927332315394991e-09,0.0031418795192088567,47,8192,0.055,0.30618621784789724
6.4767763187167924e-09,8.095970206602488e-10,6.4767769324560144e-09,0.002283396130520643,48,8192,0.055,0.30618621784789724
6.118314919597297e-09,7.647893524081806e-10,6.118315320924712e-09,0.0017558818604115345,49,8192,0.055,0.30618621784789724
8.219865181159448e-09,1.0274830857885124e-09,8.219867160564986e-09,0.003315982444858534,50,8192,0.055,0.30618621784789724
8.016298063632612e-09,1.0020372269581854e-09,8.016299055501162e-09,0.0022798607439558083,51,8192,0.055,0.30618621784789724
6.393470738234817e-09,7.991838270119552e-10,6.393471226791531e-09,0.0021787406771434092,52,8192,0.055,0.30618621784789724
