s,h,jeffreys,affinity_deficit,likelihood_ratio_second_moment,maximum_absolute_likelihood_ratio,batch,batch_size
0.082,0.45,2.7046865619924746e-07,3.380854165317552e-08,2.7046994809641525e-07,0.015363637156093901,22,8192
0.082,0.45,2.548462692867986e-07,3.1855755167954724e-08,2.5484718106027156e-07,0.012515277744014952,23,8192
0.082,0.45,2.1488322114264642e-07,2.6860380334985178e-08,2.148839349944342e-07,0.012729620233670857,24,8192
0.082,0.45,2.7751392651092424e-07,3.468919219856945e-08,2.775154822027543e-07,0.015213247301932853,25,8192
0.082,0.45,3.01603489544427e-07,3.7700397137150136e-08,3.0160473933446233e-07,0.012557743977922087,26,8192
0.082,0.45,3.3185623051996175e-07,4.14819640791846e-08,3.318583020691331e-07,0.016777054618673404,27,8192
0.082,0.45,2.0298433746876864e-07,2.537302788161476e-08,2.02984795132461e-07,0.011184213970128809,28,8192
0.082,0.45,2.129232370606512e-07,2.6615385999106444e-08,2.1292383333233455e-07,0.012680094931027952,29,8192
0.082,0.45,2.674026431113827e-07,3.342529999091909e-08,2.6740361584833225e-07,0.0118807531368752,30,8192
0.082,0.45,2.544033112903315e-07,3.180039810733142e-08,2.544038170172903e-07,0.010441499386921294,31,8192
